dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMovingAverageTemperature12
1750-01-01,3.0340000000000003,3.574,
1750-02-01,3.083,3.702,
1750-03-01,5.626,3.076,
1750-04-01,8.49,2.451,
1750-05-01,11.573,2.072,
1750-06-01,12.937,1.724,
1750-07-01,15.868,1.911,
1750-08-01,14.75,2.231,
1750-09-01,11.412999999999998,2.637,
1750-10-01,6.366999999999999,2.668,
1750-11-01,,,
1750-12-01,2.772,2.97,
1751-01-01,2.495,3.469,
1751-02-01,0.963,3.827,
1751-03-01,5.8,3.051,
1751-04-01,7.67,2.3680000000000003,
1751-05-01,,,
1751-06-01,13.827,1.801,
1751-07-01,,,
1751-08-01,14.405,2.296,
1751-09-01,10.673,2.656,
1751-10-01,,,
1751-11-01,,,
1751-12-01,,,
1752-01-01,0.3480000000000003,3.789,
1752-02-01,,,
1752-03-01,5.806,3.192,
1752-04-01,8.264999999999999,2.398,
1752-05-01,,,
1752-06-01,,,
1752-07-01,,,
1752-08-01,,,
1752-09-01,,,
1752-10-01,7.838999999999999,2.754,
1752-11-01,7.335,2.747,
1752-12-01,5.086,2.982,
1753-01-01,2.039,3.478,
1753-02-01,0.7149999999999999,6.341,
1753-03-01,5.424,2.929,
1753-04-01,8.272,3.177,
1753-05-01,12.186,3.111,
1753-06-01,14.585,2.59,
1753-07-01,15.092,1.929,
1753-08-01,14.148,2.4530000000000003,
1753-09-01,13.322,2.5380000000000003,8.836916666666665
1753-10-01,8.962,2.585,8.9305
1753-11-01,5.353,2.807,8.765333333333333
1753-12-01,0.5589999999999997,4.174,8.388083333333334
1754-01-01,1.574,5.02,8.349333333333334
1754-02-01,-1.2489999999999997,7.492000000000001,8.185666666666666
1754-03-01,3.677,3.3360000000000003,8.040083333333333
1754-04-01,11.61,3.293,8.31825
1754-05-01,11.936,3.937,8.297416666666665
1754-06-01,14.388,3.366,8.281
1754-07-01,14.681,2.401,8.24675
1754-08-01,13.556,1.892,8.197416666666665
1754-09-01,11.129,2.318,8.014666666666667
1754-10-01,9.582,2.529,8.066333333333333
1754-11-01,6.1610000000000005,3.048,8.133666666666665
1754-12-01,4.587,3.299,8.469333333333333
1755-01-01,1.067,4.6930000000000005,8.427083333333334
1755-02-01,-0.1080000000000001,5.857,8.522166666666667
1755-03-01,3.607,3.909,8.516333333333334
1755-04-01,9.263,3.372,8.32075
1755-05-01,12.880999999999998,4.151,8.399500000000002
1755-06-01,15.38,5.322,8.482166666666666
1755-07-01,14.397,1.936,8.4585
1755-08-01,13.515,2.381,8.455083333333334
1755-09-01,11.773,3.4160000000000004,8.508750000000001
1755-10-01,9.97,3.931,8.541083333333333
1755-11-01,5.957999999999999,4.021,8.524166666666668
1755-12-01,2.564,3.215,8.355583333333334
1756-01-01,3.887,3.513,8.590583333333333
1756-02-01,5.666,4.265,9.07175
1756-03-01,4.192,5.574,9.1205
1756-04-01,10.042,3.752,9.185416666666667
1756-05-01,14.163999999999998,2.608,9.292333333333334
1756-06-01,14.547,3.213,9.222916666666666
1756-07-01,13.906,2.192,9.182
1756-08-01,13.437,2.175,9.175500000000001
1756-09-01,12.652,2.954,9.24875
1756-10-01,7.3119999999999985,2.201,9.02725
1756-11-01,4.225,2.86,8.882833333333332
1756-12-01,2.165,3.841,8.849583333333333
1757-01-01,-0.2760000000000002,4.022,8.502666666666666
1757-02-01,3.704,4.261,8.339166666666666
1757-03-01,4.529,3.638,8.36725
1757-04-01,8.245999999999999,4.303999999999999,8.217583333333332
1757-05-01,13.039,4.98,8.123833333333332
1757-06-01,17.115,4.59,8.337833333333334
1757-07-01,17.61,4.322,8.646499999999998
1757-08-01,17.91,4.035,9.01925
1757-09-01,14.852,3.189,9.202583333333331
1757-10-01,6.481999999999998,3.173,9.133416666666665
1757-11-01,4.032,2.643,9.117333333333333
1757-12-01,1.0210000000000004,5.155,9.022
1758-01-01,-1.5029999999999997,7.349,8.91975
1758-02-01,0.8059999999999999,3.753,8.67825
1758-03-01,3.765,3.3680000000000003,8.614583333333334
1758-04-01,7.209999999999999,2.986,8.52825
1758-05-01,9.715,3.091,8.25125
1758-06-01,13.139,2.055,7.9199166666666665
1758-07-01,13.847,3.608,7.6063333333333345
1758-08-01,11.818,2.979,7.0986666666666665
1758-09-01,10.028,2.347,6.696666666666665
1758-10-01,1.8939999999999992,2.332,6.314333333333334
1758-11-01,6.955,3.2430000000000003,6.557916666666666
1758-12-01,3.249,3.244,6.743583333333333
1759-01-01,5.013999999999999,3.673,7.286666666666666
1759-02-01,4.082,5.966,7.559666666666666
1759-03-01,4.52,3.958,7.622583333333332
1759-04-01,5.983,3.159,7.520333333333333
1759-05-01,10.189,2.503,7.559833333333333
1759-06-01,13.512,2.232,7.590916666666668
1759-07-01,12.526,2.65,7.480833333333333
1759-08-01,14.587,5.626,7.711583333333333
1759-09-01,12.626,3.235,7.928083333333333
1759-10-01,8.267000000000001,2.983,8.459166666666667
1759-11-01,4.268000000000002,3.167,8.23525
1759-12-01,0.2469999999999999,4.995,7.985083333333335
1760-01-01,-0.8109999999999999,4.567,7.499666666666666
1760-02-01,2.436,3.535,7.362500000000001
1760-03-01,1.864,4.666,7.141166666666667
1760-04-01,7.435999999999999,2.669,7.262250000000001
1760-05-01,10.661,1.857,7.301583333333333
1760-06-01,11.945,2.14,7.170999999999999
1760-07-01,12.887,2.567,7.201083333333333
1760-08-01,13.917,2.789,7.14525
1760-09-01,11.197,3.865,7.026166666666668
1760-10-01,6.7010000000000005,3.422,6.895666666666666
1760-11-01,5.436,2.3480000000000003,6.992999999999999
1760-12-01,2.553,2.642,7.1851666666666665
1761-01-01,0.6000000000000001,4.779,7.30275
1761-02-01,2.735,3.775,7.327666666666666
1761-03-01,5.976,3.225,7.670333333333333
1761-04-01,7.321000000000001,1.652,7.66075
1761-05-01,13.451,1.709,7.893249999999999
