dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,LandAndOceanMovingAverageTemperature12
1850-01-01,0.7490000000000001,1.105,8.241999999999999,1.7380000000000002,-3.2060000000000004,2.822,12.832999999999998,0.3670000000000001,
1850-02-01,3.071,1.275,9.97,3.007,-2.2910000000000004,1.6230000000000002,13.588,0.414,
1850-03-01,4.954,0.955,10.347,2.401,-1.905,1.41,14.043,0.341,
1850-04-01,7.217,0.665,12.934,1.004,1.018,1.329,14.667,0.267,
1850-05-01,10.004,0.617,15.655,2.406,3.811,1.347,15.507,0.249,
1850-06-01,13.15,0.614,18.946,2.817,7.106,0.857,16.352999999999998,0.245,
1850-07-01,14.492,0.614,19.233,2.84,8.014,0.7859999999999999,16.783,0.238,
1850-08-01,14.039,0.802,18.477,2.079,7.405999999999999,1.086,16.718,0.28,
1850-09-01,11.505,0.675,15.846000000000002,2.692,4.533,1.798,15.886,0.254,
1850-10-01,8.091000000000001,0.863,13.189,2.338,2.013,2.133,14.831,0.297,
1850-11-01,4.7330000000000005,1.149,11.388,3.491,-0.12,1.069,13.897,0.368,
1850-12-01,2.803,1.183,7.492999999999999,1.925,-2.8070000000000004,2.594,13.3,0.378,14.867166666666668
1851-01-01,2.431,1.122,8.950999999999997,2.399,-2.443,1.771,13.245,0.362,14.901499999999999
1851-02-01,2.508,1.1,9.808,2.654,-1.507,2.714,13.331,0.361,14.880083333333333
1851-03-01,4.192,0.971,11.507,2.037,-0.7000000000000001,1.611,13.897,0.33,14.867916666666666
1851-04-01,7.286999999999999,0.8290000000000001,14.236,1.97,2.331,1.281,14.64,0.298,14.865666666666668
1851-05-01,11.113,0.936,15.010000000000002,3.184,4.136,1.011,15.771,0.322,14.887666666666666
1851-06-01,13.418,0.655,17.287999999999997,3.187,6.3740000000000006,1.13,16.496000000000002,0.261,14.899583333333334
1851-07-01,14.531,0.606,17.102999999999998,3.751,7.425,1.48,16.831,0.244,14.903583333333332
1851-08-01,13.751,0.775,17.360999999999994,1.392,6.594999999999999,1.281,16.621000000000002,0.276,14.8955
1851-09-01,11.677,0.581,16.360000000000007,2.496,5.525,1.643,16.058,0.25,14.909833333333333
1851-10-01,9.122,1.058,14.961,1.915,3.298,1.297,15.213,0.358,14.941666666666665
1851-11-01,4.973,0.968,7.951,1.833,-1.345,1.527,14.161,0.344,14.963666666666667
1851-12-01,3.14,0.982,6.436,1.949,-3.242,2.843,13.638,0.339,14.991833333333332
1852-01-01,2.3760000000000003,1.389,8.474,4.24,-2.7550000000000003,1.705,13.231,0.438,14.990666666666668
1852-02-01,2.54,1.115,8.568999999999999,2.737,-2.337,1.78,13.311,0.371,14.988999999999999
1852-03-01,3.884,0.915,9.215,2.88,-2.491,1.471,13.736,0.317,14.975583333333333
1852-04-01,7.486999999999999,1.158,11.249,1.491,0.6469999999999998,1.256,14.786,0.377,14.987749999999998
1852-05-01,11.169,0.855,15.835,2.805,4.6240000000000006,0.971,15.899,0.298,14.998416666666666
1852-06-01,13.164,0.636,17.759999999999994,1.925,6.705,0.6829999999999999,16.619,0.243,15.008666666666665
1852-07-01,14.512,0.778,17.795,2.924,7.57,1.35,16.984,0.278,15.021416666666667
1852-08-01,13.304,0.7659999999999999,17.567,1.812,7.4289999999999985,1.222,16.566,0.277,15.016833333333333
1852-09-01,11.478,0.6890000000000001,16.665000000000006,1.4069999999999998,5.742000000000001,1.51,16.038,0.261,15.015166666666667
1852-10-01,8.91,0.654,14.849,1.4980000000000002,2.813,0.963,15.178,0.25,15.012250000000002
1852-11-01,4.593,0.693,12.009,4.373,0.736,1.48,13.948,0.26,14.9945
1852-12-01,3.785,1.371,10.781,3.339,-0.6390000000000001,2.204,13.782,0.4270000000000001,15.0065
1853-01-01,1.786,1.108,8.972000000000001,2.461,-2.818,1.556,13.143,0.356,14.999166666666667
1853-02-01,2.228,1.492,8.29,1.535,-3.213,1.783,13.362,0.457,15.003416666666666
1853-03-01,4.078,0.918,10.325,2.294,-1.966,1.494,14.033,0.306,15.02816666666667
1853-04-01,7.540999999999999,0.8240000000000001,13.72,2.69,1.6549999999999998,1.15,14.919,0.283,15.039250000000001
1853-05-01,10.975,0.743,16.543000000000006,3.36,4.364000000000001,0.782,15.793,0.261,15.030416666666667
1853-06-01,13.41,0.674,18.611,1.124,6.944000000000001,1.418,16.455000000000002,0.24,15.016750000000002
1853-07-01,14.645,0.659,18.923,2.0580000000000003,6.933,1.195,16.999000000000002,0.238,15.018
1853-08-01,13.953,0.723,19.308,1.2,7.273,0.879,16.789,0.25,15.036583333333333
1853-09-01,11.71,0.7490000000000001,17.691000000000006,1.847,5.779,0.928,15.942,0.259,15.028583333333335
1853-10-01,8.535,0.546,14.757,2.451,1.85,2.277,14.874,0.211,15.00325
1853-11-01,4.783,0.868,11.269,2.15,-0.0759999999999999,1.277,13.829,0.29,14.993333333333334
1853-12-01,2.858,0.716,8.23,1.971,-4.015,1.528,13.324000000000002,0.255,14.955166666666669
1854-01-01,1.281,0.977,8.786,2.589,-3.5520000000000005,1.362,12.983,0.313,14.941833333333335
1854-02-01,1.941,1.08,8.508,1.863,-4.109,1.467,13.248,0.342,14.932333333333334
1854-03-01,4.698,0.789,10.469,2.107,-1.413,1.517,14.089,0.267,14.937
1854-04-01,7.622000000000001,0.674,13.402,2.16,0.5659999999999998,1.25,14.945,0.242,14.939166666666667
1854-05-01,11.095,0.638,16.748,1.513,4.184,1.306,15.793,0.233,14.939166666666667
1854-06-01,12.829,0.5329999999999999,18.188,0.964,6.492999999999999,0.902,16.285999999999998,0.206,14.925083333333333
1854-07-01,14.692,0.85,20.426,1.853,7.89,0.912,16.775000000000002,0.282,14.906416666666667
1854-08-01,13.889,0.898,19.291,1.36,7.302999999999999,1.021,16.707,0.288,14.899583333333334
1854-09-01,11.514,0.552,17.357000000000006,1.142,5.553999999999999,1.22,16.098,0.21,14.912583333333332
1854-10-01,9.763,0.964,15.341,1.3119999999999998,3.033,1.229,15.378,0.309,14.954583333333334
1854-11-01,5.745,0.7859999999999999,10.707,1.954,-1.406,1.635,14.123,0.261,14.979083333333334
1854-12-01,3.457,1.167,8.506,2.583,-3.397,2.463,13.467,0.364,14.991
1855-01-01,2.522,1.465,8.219999999999999,1.099,-3.125,1.699,13.384,0.442,15.024416666666665
1855-02-01,2.982,1.3219999999999998,7.604,3.083,-4.947,2.343,13.646,0.402,15.057583333333334
1855-03-01,4.617,0.898,10.16,1.69,-1.865,1.338,14.172,0.294,15.0645
1855-04-01,8.58,1.034,13.709,1.024,1.1409999999999998,1.06,15.187,0.328,15.084666666666665
1855-05-01,11.186,0.799,16.77,0.6509999999999999,4.2860000000000005,0.866,15.822,0.267,15.087083333333332
1855-06-01,12.984000000000002,0.79,17.642,1.197,6.476,1.231,16.445,0.264,15.100333333333333
1855-07-01,13.925999999999998,0.635,18.467,0.784,7.691,0.703,16.675,0.225,15.091999999999999
1855-08-01,13.547,0.601,19.012,0.957,6.930999999999999,1.345,16.685000000000002,0.214,15.090166666666667
1855-09-01,11.140999999999998,0.638,17.078000000000007,0.741,5.499,1.531,15.829,0.226,15.067750000000002
1855-10-01,8.443999999999999,0.778,14.26,2.029,2.317,2.929,15.075,0.264,15.042499999999999
1855-11-01,5.186,0.69,11.117,1.118,-0.5170000000000001,2.963,14.118,0.246,15.042083333333332
1855-12-01,2.214,0.996,7.879,1.604,-3.4530000000000003,1.856,13.215,0.322,15.021083333333332
1856-01-01,2.76,0.752,7.297999999999999,2.331,-3.727,2.795,13.368,0.261,15.019750000000002
1856-02-01,2.226,0.953,8.294,2.111,-3.679,3.428,13.311,0.306,14.991833333333332
1856-03-01,4.372,0.735,10.327,2.441,-2.241,2.56,13.957,0.252,14.973916666666668
1856-04-01,7.750999999999999,0.57,14.387,1.399,1.242,1.025,14.945,0.217,14.953750000000001
1856-05-01,10.53,0.915,16.704,2.209,3.945,0.8809999999999999,15.813,0.296,14.953000000000001
1856-06-01,13.496,0.778,18.326,1.243,6.879,1.083,16.492,0.264,14.956916666666666
1856-07-01,14.019,0.422,18.349,1.471,7.035,0.6779999999999999,16.675,0.185,14.956916666666666
1856-08-01,13.021,0.866,18.386,1.284,6.767,1.754,16.39,0.285,14.932333333333334
1856-09-01,10.948,0.884,17.21,1.294,4.864,1.222,15.640999999999998,0.289,14.916666666666666
1856-10-01,8.087,0.759,14.128,1.917,1.979,2.153,14.783,0.256,14.892333333333333
1856-11-01,5.36,0.5770000000000001,10.349,1.477,-1.433,1.484,13.856,0.211,14.870500000000002
1856-12-01,3.381,0.918,7.885,2.402,-3.33,2.279,13.321,0.3,14.879333333333335
1857-01-01,1.821,0.924,6.642,4.164,-5.407,3.498,12.972,0.3,14.846333333333334
1857-02-01,2.481,0.885,9.602,2.59,-1.92,1.912,13.385000000000002,0.29,14.852500000000001
1857-03-01,4.312,0.8440000000000001,10.2,2.047,-1.0710000000000002,2.391,13.916,0.278,14.849083333333335
1857-04-01,6.826999999999999,0.5429999999999999,13.107,1.864,0.8799999999999999,1.106,14.481,0.212,14.810416666666667
