,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Year_Date
0,Afghanistan,1900,13.47,0.7518749999999998,1905.5
1,Afghanistan,1910,13.66,0.7697916666666668,1915.5
2,Afghanistan,1920,13.56,0.7081249999999982,1925.5
3,Afghanistan,1930,13.68,0.5599999999999997,1935.5
4,Afghanistan,1940,14.1,0.4924999999999997,1945.5
5,Afghanistan,1950,13.97,0.5614583333333323,1955.5
6,Afghanistan,1960,13.83,0.5441666666666666,1965.5
7,Afghanistan,1970,13.88,0.602499999999999,1975.5
8,Afghanistan,1980,14.48,0.6020833333333324,1985.5
9,Afghanistan,1990,14.6,0.6947916666666659,1995.5
10,Afghanistan,2000,15.12,0.6519791666666656,2005.5
11,Afghanistan,2010,15.05,0.6340909090909095,2011.909090909091
12,Albania,1900,15.3,0.6941666666666667,1905.5
13,Albania,1910,15.47,0.5566666666666666,1915.5
14,Albania,1920,15.79,0.5133333333333339,1925.5
15,Albania,1930,15.65,0.5466666666666669,1935.5
16,Albania,1940,15.84,0.4875000000000007,1945.5
17,Albania,1950,15.88,0.39083333333333403,1955.5
18,Albania,1960,15.77,0.35,1965.5
19,Albania,1970,15.44,0.3191666666666668,1975.5
20,Albania,1980,15.85,0.33833333333333343,1985.5
21,Albania,1990,16.11,0.37666666666666715,1995.5
22,Albania,2000,16.41,0.36750000000000005,2005.5
23,Albania,2010,16.79,0.4969696969696968,2011.909090909091
24,Algeria,1900,17.4,0.777,1905.5
25,Algeria,1910,17.45,0.6953333333333331,1915.5
26,Algeria,1920,17.78,0.6114999999999996,1925.5
27,Algeria,1930,17.82,0.5386666666666665,1935.5
28,Algeria,1940,18.16,0.5673333333333336,1945.5
29,Algeria,1950,17.93,0.47166666666666734,1955.5
30,Algeria,1960,18.02,0.5035000000000012,1965.5
31,Algeria,1970,17.5,0.4531666666666679,1975.5
32,Algeria,1980,18.38,0.5214999999999991,1985.5
33,Algeria,1990,18.55,0.41366666666666807,1995.5
34,Algeria,2000,19.04,0.3891666666666676,2005.5
35,Algeria,2010,19.11,0.44242424242424205,2011.909090909091
36,Angola,1900,21.38,0.9487499999999984,1905.5
37,Angola,1910,21.5,0.8430555555555548,1915.5
38,Angola,1920,21.78,0.8656944444444449,1925.5
39,Angola,1930,21.74,0.8950000000000005,1935.5
40,Angola,1940,21.9,0.8822222222222215,1945.5
41,Angola,1950,21.77,0.6047222222222219,1955.5
42,Angola,1960,21.87,0.5316666666666664,1965.5
43,Angola,1970,21.85,0.6355555555555544,1975.5
44,Angola,1980,22.13,0.7130555555555568,1985.5
45,Angola,1990,22.38,0.7027777777777792,1995.5
46,Angola,2000,22.52,1.0102777777777783,2005.5
47,Angola,2010,22.27,1.042424242424242,2011.909090909091
48,Argentina,1900,16.69,0.7233333333333332,1905.5
49,Argentina,1910,16.86,0.6834635416666716,1915.5
50,Argentina,1920,16.8,0.5953906250000031,1925.5
51,Argentina,1930,16.9,0.45640625000000123,1935.5
52,Argentina,1940,17.11,0.40315104166666593,1945.5
53,Argentina,1950,16.91,0.4061979166666663,1955.5
54,Argentina,1960,17.25,0.36226562499999965,1965.5
55,Argentina,1970,17.2,0.3640364583333324,1975.5
56,Argentina,1980,17.42,0.3526562499999987,1985.5
57,Argentina,1990,17.49,0.37101562500000107,1995.5
58,Argentina,2000,17.65,0.3964843750000007,2005.5
59,Argentina,2010,17.55,0.4201704545454542,2011.909090909091
60,Armenia,1900,8.1,0.8683333333333331,1905.5
61,Armenia,1910,8.31,0.7808333333333337,1915.5
62,Armenia,1920,8.34,0.8108333333333336,1925.5
63,Armenia,1930,8.39,0.550833333333334,1935.5
64,Armenia,1940,8.4,0.5408333333333328,1945.5
65,Armenia,1950,8.64,0.49666666666666703,1955.5
66,Armenia,1960,8.96,0.44416666666666693,1965.5
67,Armenia,1970,8.62,0.44250000000000034,1975.5
68,Armenia,1980,8.95,0.4425000000000005,1985.5
69,Armenia,1990,9.17,0.413333333333334,1995.5
70,Armenia,2000,9.77,0.4258333333333343,2005.5
71,Armenia,2010,9.94,0.4606060606060604,2011.909090909091
72,Australia,1900,16.59,0.5205357142857128,1905.5
73,Australia,1910,16.81,0.4144047619047583,1915.5
74,Australia,1920,16.74,0.3661904761904734,1925.5
75,Australia,1930,16.78,0.32499999999999846,1935.5
76,Australia,1940,16.67,0.2966071428571418,1945.5
77,Australia,1950,16.75,0.3269047619047603,1955.5
78,Australia,1960,16.82,0.2870833333333331,1965.5
79,Australia,1970,17.12,0.2582738095238097,1975.5
80,Australia,1980,17.21,0.25630952380952265,1985.5
81,Australia,1990,17.26,0.24720238095238012,1995.5
82,Australia,2000,17.62,0.2541666666666657,2005.5
83,Australia,2010,17.55,0.26883116883116925,2011.909090909091
84,Austria,1900,6.01,0.47533333333333416,1905.5
85,Austria,1910,6.24,0.4253333333333343,1915.5
86,Austria,1920,6.34,0.40716666666666823,1925.5
87,Austria,1930,6.22,0.40700000000000097,1935.5
88,Austria,1940,6.57,0.3980000000000015,1945.5
89,Austria,1950,6.42,0.3920000000000009,1955.5
90,Austria,1960,6.3,0.3885000000000007,1965.5
91,Austria,1970,6.48,0.360833333333334,1975.5
92,Austria,1980,6.77,0.3490000000000009,1985.5
93,Austria,1990,7.19,0.3245000000000006,1995.5
94,Austria,2000,7.42,0.31000000000000066,2005.5
95,Austria,2010,7.86,0.40424242424242385,2011.909090909091
96,Azerbaijan,1900,10.86,0.705833333333333,1905.5
97,Azerbaijan,1910,10.93,0.7274999999999998,1915.5
98,Azerbaijan,1920,10.9,0.7033333333333338,1925.5
99,Azerbaijan,1930,11.18,0.5225000000000001,1935.5
100,Azerbaijan,1940,11.12,0.49916666666666654,1945.5
101,Azerbaijan,1950,11.32,0.5274999999999997,1955.5
102,Azerbaijan,1960,11.66,0.47250000000000036,1965.5
103,Azerbaijan,1970,11.46,0.40416666666666695,1975.5
104,Azerbaijan,1980,11.73,0.40000000000000013,1985.5
105,Azerbaijan,1990,11.94,0.3808333333333331,1995.5
106,Azerbaijan,2000,12.7,0.4475000000000001,2005.5
107,Azerbaijan,2010,12.83,0.47272727272727266,2011.909090909091
108,Bahamas,1900,24.42,0.5866666666666666,1905.5
109,Bahamas,1910,24.61,0.5483333333333332,1915.5
110,Bahamas,1920,24.88,0.5741666666666666,1925.5
111,Bahamas,1930,24.85,0.42416666666666647,1935.5
112,Bahamas,1940,25.09,0.3516666666666665,1945.5
113,Bahamas,1950,24.9,0.3124999999999996,1955.5
114,Bahamas,1960,24.79,0.365833333333333,1965.5
115,Bahamas,1970,25.13,0.30333333333333345,1975.5
116,Bahamas,1980,25.24,0.33916666666666656,1985.5
117,Bahamas,1990,25.44,0.3383333333333331,1995.5
118,Bahamas,2000,25.47,0.34749999999999986,2005.5
119,Bahamas,2010,25.68,0.42727272727272736,2011.909090909091
120,Bahrain,1900,25.6,0.8366666666666664,1905.5
121,Bahrain,1910,25.48,0.8366666666666667,1915.5
122,Bahrain,1920,25.76,0.8250000000000003,1925.5
123,Bahrain,1930,25.62,0.7849999999999998,1935.5
124,Bahrain,1940,25.88,0.7491666666666668,1945.5
125,Bahrain,1950,25.94,0.5191666666666663,1955.5
126,Bahrain,1960,26.04,0.5166666666666663,1965.5
127,Bahrain,1970,26.01,0.45416666666666633,1975.5
128,Bahrain,1980,26.11,0.4924999999999995,1985.5
129,Bahrain,1990,26.49,0.3733333333333331,1995.5
130,Bahrain,2000,27.23,0.3733333333333334,2005.5
131,Bahrain,2010,27.39,0.5393939393939393,2011.909090909091
132,Bangladesh,1900,24.97,0.4394736842105209,1905.5
133,Bangladesh,1910,24.96,0.40802631578946974,1915.5
134,Bangladesh,1920,25.09,0.3582017543859603,1925.5
135,Bangladesh,1930,25.2,0.29214912280701605,1935.5
